rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
12308000000,,611,,12,308000000,'',"[joint_1, joint_2]","[5.863989849234095, 0.6691408103972796]","[0.003802831945934856, -5.3546746217712424e-05]","[2.271374820794657, 0.5926818198286425]"
12328000000,,612,,12,328000000,'',"[joint_1, joint_2]","[5.8640657685592235, 0.6691397411155178]","[0.003789761252927303, -5.3389551951105955e-05]","[2.271423194345864, 0.5926725703630715]"
12348000000,,613,,12,348000000,'',"[joint_1, joint_2]","[5.8641414269216305, 0.6691386749610855]","[0.003776733502771621, -5.323393381197238e-05]","[2.2714713890374236, 0.5926633495733544]"
12368000000,,614,,12,368000000,'',"[joint_1, joint_2]","[5.864216825178704, 0.6691376119025252]","[0.0037637485569531905, -5.307988480927417e-05]","[2.2715194065882436, 0.5926541580243724]"
12388000000,,615,,12,388000000,'',"[joint_1, joint_2]","[5.864291964185143, 0.6691365519085677]","[0.0037508062847215213, -5.2927393316927994e-05]","[2.271567248634593, 0.592644996232697]"
12408000000,,616,,12,408000000,'',"[joint_1, joint_2]","[5.864366844793116, 0.6691354949482227]","[0.0037379065625520002, -5.277644348426714e-05]","[2.271614916731019, 0.5926358646668739]"
12428000000,,617,,12,428000000,'',"[joint_1, joint_2]","[5.864441467852379, 0.6691344409908568]","[0.003725049273535767, -5.2627015571543156e-05]","[2.2716624123530047, 0.5926267637490261]"
12448000000,,618,,12,448000000,'',"[joint_1, joint_2]","[5.864515834210428, 0.6691333900062721]","[0.003712234306797186, -5.247908628390951e-05]","[2.27170973689875, 0.5926176938557696]"
12468000000,,619,,12,468000000,'',"[joint_1, joint_2]","[5.86458994471259, 0.6691323419647714]","[0.0036994615569842693, -5.233262913847958e-05]","[2.2717568916911803, 0.5926086553197016]"
12488000000,,620,,12,488000000,'',"[joint_1, joint_2]","[5.864663800202142, 0.6691312968372118]","[0.00368673092369343, -5.2187614763248534e-05]","[2.2718038779810144, 0.5925996484305489]"
12508000000,,621,,12,508000000,'',"[joint_1, joint_2]","[5.864737401520402, 0.6691302545950721]","[0.0036740423109965807, -5.2044011237395785e-05]","[2.271850696948548, 0.5925906734370432]"
12528000000,,622,,12,528000000,'',"[joint_1, joint_2]","[5.864810749506806, 0.6691292152104902]","[0.0036613956268804673, -5.190178435969658e-05]","[2.2718973497069612, 0.5925817305477892]"
12548000000,,623,,12,548000000,'',"[joint_1, joint_2]","[5.864883844998994, 0.6691281786563055]","[0.0036487907828546334, -5.176089798874031e-05]","[2.2719438373044905, 0.5925728199336717]"
12568000000,,624,,12,568000000,'',"[joint_1, joint_2]","[5.864956688832866, 0.6691271449061089]","[0.003636227693417181, -5.162131428131447e-05]","[2.271990160727645, 0.5925639417289085]"
12588000000,,625,,12,588000000,'',"[joint_1, joint_2]","[5.865029281842637, 0.6691261139342517]","[0.003623706275700124, -5.1482993998604176e-05]","[2.2720363209035273, 0.5925550960329741]"
12608000000,,626,,12,608000000,'',"[joint_1, joint_2]","[5.865101624860891, 0.6691250857158932]","[0.0036112264489735948, -5.1345896724769476e-05]","[2.2720823187034713, 0.5925462829121089]"
12628000000,,627,,12,628000000,'',"[joint_1, joint_2]","[5.865173718718617, 0.6691240602270012]","[0.003598788134313622, -5.120998113051535e-05]","[2.2721281549450323, 0.5925375024013441]"
12648000000,,628,,12,648000000,'',"[joint_1, joint_2]","[5.86524556424524, 0.6691230374443871]","[0.0035863912542063725, -5.107520520092421e-05]","[2.2721738303955163, 0.5925287545061856]"
12668000000,,629,,12,668000000,'',"[joint_1, joint_2]","[5.865317162268649, 0.6691220173456989]","[0.003574035732221487, -5.0941526449732426e-05]","[2.2722193457745203, 0.5925200392039492]"
12688000000,,630,,12,688000000,'',"[joint_1, joint_2]","[5.865388513615208, 0.669120999909441]","[0.0035617214926581746, -5.080890211988081e-05]","[2.2722647017572744, 0.5925113564459732]"
12708000000,,631,,12,708000000,'',"[joint_1, joint_2]","[5.865459619109778, 0.6691199851149792]","[0.003549448460264595, -5.067728938054671e-05]","[2.2723098989768085, 0.5925027061591247]"
12728000000,,632,,12,728000000,'',"[joint_1, joint_2]","[5.8655304795757095, 0.6691189729425266]","[0.003537216559944748, -5.054664549924287e-05]","[2.2723549380275, 0.5924940882474773]"
12748000000,,633,,12,748000000,'',"[joint_1, joint_2]","[5.865601095834858, 0.6691179633731563]","[0.003525025716478324, -5.041692799951682e-05]","[2.2723998194670805, 0.592485502594168]"
12768000000,,634,,12,768000000,'',"[joint_1, joint_2]","[5.865671468707567, 0.6691169563887795]","[0.0035128758543205496, -5.0288094836839665e-05]","[2.2724445438201424, 0.5924769490626374]"
12788000000,,635,,12,788000000,'',"[joint_1, joint_2]","[5.8657415990126625, 0.6691159519721479]","[0.003500766897347662, -5.016010451919803e-05]","[2.2724891115801884, 0.5924684274988314]"
12809000000,,636,,12,808000000,'',"[joint_1, joint_2]","[5.865811487567445, 0.6691149501068336]","[0.003488698768646899, -5.003291622820809e-05]","[2.2725335232123363, 0.5924599377323645]"
12828000000,,637,,12,828000000,'',"[joint_1, joint_2]","[5.8658811351876645, 0.669113950777219]","[0.003476671390381424, -4.990648996910712e-05]","[2.2725777791562956, 0.5924514795780713]"
12848000000,,638,,12,848000000,'',"[joint_1, joint_2]","[5.865950542687499, 0.669112953968475]","[0.003464684683550212, -4.978078663226814e-05]","[2.2726218798281335, 0.5924430528375674]"
12868000000,,639,,12,868000000,'',"[joint_1, joint_2]","[5.866019710879542, 0.6691119596665436]","[0.003452738567926014, -4.9655768126004654e-05]","[2.2726658256229126, 0.592434657300973]"
12888000000,,640,,12,888000000,'',"[joint_1, joint_2]","[5.866088640574757, 0.6691109678581197]","[0.003440832961856273, -4.9531397434038164e-05]","[2.2727096169172114, 0.5924262927477644]"
12907000000,,641,,12,908000000,'',"[joint_1, joint_2]","[5.8661573325824685, 0.6691099785306251]","[0.003428967782177666, -4.940763869379491e-05]","[2.272753254070842, 0.5924179589483768]"
12928000000,,642,,12,928000000,'',"[joint_1, joint_2]","[5.866225787710317, 0.6691089916721902]","[0.0034171429441310344, -4.928445727783726e-05]","[2.2727967374292852, 0.5924096556655561]"
12948000000,,643,,12,948000000,'',"[joint_1, joint_2]","[5.866294006764229, 0.6691080072716131]","[0.0034053583612633697, -4.91618198271886e-05]","[2.272840067325441, 0.5924013826556442]"
12968000000,,644,,12,968000000,'',"[joint_1, joint_2]","[5.866361990548383, 0.6691070253183602]","[0.0033936139453624534, -4.903969430690002e-05]","[2.2728832440817714, 0.5923931396693313]"
12988000000,,645,,12,988000000,'',"[joint_1, joint_2]","[5.866429739865179, 0.669106045802514]","[0.0033819096063910023, -4.891805002694028e-05]","[2.2729262680117808, 0.5923849264533566]"
13008000000,,646,,13,8000000,'',"[joint_1, joint_2]","[5.866497255515193, 0.6691050687147593]","[0.0033702452524747217, -4.87968576997214e-05]","[2.2729691394220626, 0.5923767427509755]"
13028000000,,647,,13,28000000,'',"[joint_1, joint_2]","[5.866564538297145, 0.6691040940463564]","[0.0033586207898530828, -4.867608943469456e-05]","[2.2730118586135144, 0.5923685883035337]"
13048000000,,648,,13,48000000,'',"[joint_1, joint_2]","[5.86663158900786, 0.6691031217890986]","[0.00334703612286792, -4.855571876697003e-05]","[2.273054425883155, 0.5923604628507614]"
13068000000,,649,,13,68000000,'',"[joint_1, joint_2]","[5.866698408442226, 0.6691021519353031]","[0.0033354911539465195, -4.8435720650376064e-05]","[2.2730968415254007, 0.5923523661322285]"
13088000000,,650,,13,88000000,'',"[joint_1, joint_2]","[5.866764997393169, 0.6691011844777668]","[0.0033239857836185674, -4.831607147153709e-05]","[2.273139105833376, 0.5923442978877329]"
13108000000,,651,,13,108000000,'',"[joint_1, joint_2]","[5.866831356651595, 0.6691002194097484]","[0.0033125199105348575, -4.8196749045342595e-05]","[2.2731812190999796, 0.5923362578583717]"
13128000000,,652,,13,128000000,'',"[joint_1, joint_2]","[5.86689748700637, 0.6690992567249312]","[0.0033010934314611877, -4.80777325854477e-05]","[2.2732231816195054, 0.5923282457870566]"
13148000000,,653,,13,148000000,'',"[joint_1, joint_2]","[5.8669633892442725, 0.6690982964174053]","[0.003289706241345764, -4.79590027108426e-05]","[2.273264993687887, 0.5923202614192208]"
13168000000,,654,,13,168000000,'',"[joint_1, joint_2]","[5.867029064149966, 0.6690973384816266]","[0.003278358233321841, -4.7840541415121885e-05]","[2.273306655604268, 0.5923123045034204]"
13188000000,,655,,13,188000000,'',"[joint_1, joint_2]","[5.867094512505951, 0.6690963829124028]","[0.003267049298769041, -4.772233203896147e-05]","[2.2733481676716423, 0.5923043747916985]"
13208000000,,656,,13,208000000,'',"[joint_1, joint_2]","[5.867159735092542, 0.6690954297048579]","[0.003255779327356789, -4.760435923947294e-05]","[2.273389530197741, 0.5922964720403934]"
13228000000,,657,,13,228000000,'',"[joint_1, joint_2]","[5.8672247326878315, 0.6690944788544106]","[0.0032445482071172967, -4.748660898524571e-05]","[2.2734307434951995, 0.5922885960103356]"
13248000000,,658,,13,248000000,'',"[joint_1, joint_2]","[5.8672895060676495, 0.6690935303567445]","[0.0032333558244599494, -4.736906847093228e-05]","[2.2734718078831175, 0.5922807464673183]"
13268000000,,659,,13,268000000,'',"[joint_1, joint_2]","[5.867354056005544, 0.6690925842077897]","[0.003222202064297545, -4.725172613407073e-05]","[2.2735127236865025, 0.5922729231824803]"
13288000000,,660,,13,288000000,'',"[joint_1, joint_2]","[5.8674183832727405, 0.6690916404036935]","[0.0032110868100489135, -4.713457156653835e-05]","[2.2735534912376445, 0.5922651259323647]"
13308000000,,661,,13,308000000,'',"[joint_1, joint_2]","[5.867482488638124, 0.6690906989408019]","[0.003200009943763122, -4.7017595513739775e-05]","[2.273594110875883, 0.5922573544995242]"
13328000000,,662,,13,328000000,'',"[joint_1, joint_2]","[5.867546372868204, 0.6690897598156278]","[0.003188971346165062, -4.690078980841431e-05]","[2.2736345829483176, 0.5922496086724843]"
13348000000,,663,,13,348000000,'',"[joint_1, joint_2]","[5.867610036727088, 0.6690888230248424]","[0.00317797089673411, -4.6784147324191276e-05]","[2.2736749078098115, 0.5922418882458991]"
13368000000,,664,,13,368000000,'',"[joint_1, joint_2]","[5.867673480976464, 0.66908788856525]","[0.0031670084737746283, -4.6667661932825195e-05]","[2.2737150858233472, 0.592234193021067]"
13388000000,,665,,13,388000000,'',"[joint_1, joint_2]","[5.867736706375575, 0.6690869564337616]","[0.003156083954509231, -4.655132846767725e-05]","[2.273755117360149, 0.5922265228055346]"
13408000000,,666,,13,408000000,'',"[joint_1, joint_2]","[5.867799713681195, 0.6690860266273839]","[0.003145197215149974, -4.643514265655242e-05]","[2.273795002799601, 0.592218877413317]"
13428000000,,667,,13,428000000,'',"[joint_1, joint_2]","[5.867862503647616, 0.6690850991432056]","[0.0031343481309711115, -4.6319101088544614e-05]","[2.2738347425296976, 0.5922112566650967]"
13448000000,,668,,13,448000000,'',"[joint_1, joint_2]","[5.867925077026625, 0.6690841739783684]","[0.0031235365764023153, -4.620320116215451e-05]","[2.2738743369465926, 0.5922036603881202]"
13468000000,,669,,13,468000000,'',"[joint_1, joint_2]","[5.8679874345674845, 0.6690832511300568]","[0.003112762425084018, -4.608744102543557e-05]","[2.2739137864546537, 0.5921960884162836]"
13487000000,,670,,13,488000000,'',"[joint_1, joint_2]","[5.868049577016932, 0.6690823305954927]","[0.0031020255499811687, -4.597181955019562e-05]","[2.2739530914664465, 0.5921885405897956]"
13508000000,,671,,13,508000000,'',"[joint_1, joint_2]","[5.868111505119152, 0.6690814123719049]","[0.003091325823417426, -4.5856336255341214e-05]","[2.2739922524030973, 0.5921810167554498]"
13528000000,,672,,13,528000000,'',"[joint_1, joint_2]","[5.868173219615764, 0.6690804964565329]","[0.0030806631171929376, -4.574099129306137e-05]","[2.274031269693035, 0.5921735167662573]"
